batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,b_hit_rate,b_xba,b_hardhit,b_babip,b_n_games,b_days_rest,split_diff,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_n_games,p_days_rest,is_opener,b_hit_rate_vs_L,b_hit_rate_vs_R,p_use_fb,p_use_bb,p_use_os,b_hr_vs_fb,b_hr_vs_bb,b_hr_vs_os,b_hr_overall,b_hit_rate_vs_sp,b_pa_vs_sp,b_hit_rate_vs_rp,b_pa_vs_rp,b_is_rookie,p_is_rookie,base_p_hit,matchup_delta,b_avg_ab,b_avg_pa,b_games_played,p_multihit,base_p_multihit,p_multihit_matchup_delta,p_hrRbi,base_p_hrRbi,p_hrRbi_matchup_delta,b_quality_first3,b_n_games_first3,lean_tag,p_era,p_whip_official,p_ip,p_wins,p_losses,p_so,p_bb_official,p_saves,p_blown_saves,p_save_opps,p_games_started,p_role,p_games_pitched,p_bf_official,p_hits_allowed,p_bf_per_g,p_k9,p_bb9,p_h9,p_hr9,p_avg_bf
650333,Luis Arráez,L,SF,1,Grayson Rodriguez,R,680570,823196,LAA @ SF,7:15 PM,24/07,Scheduled,0.7348739782961307,,,,False,0111011100,estimated,0,0,0.0,0.27005354060129033,0.27765674467237,0.11291300896579601,0.3105301416266726,20,2,-0.022271207053815745,0.994,15.0,F,0.25263157894736843,1.5320617742551916,0.5608605773159377,8,6,0,0.33695652173913043,0.3146853146853147,0.5363636363636364,0.23333333333333334,0.23030303030303031,0.3647865050079072,0.3357142857142857,0.3129973474801061,0.35025041736227047,0.3744493392070485,248,0.23841059602649006,172,False,False,0.688963615820238,0.04591036247589264,3.9789473684210526,4.421052631578948,95,0.32933871868768866,0.3023363702787016,0.027002348408987076,0.6044809943375711,0.5243565060452517,0.08012448829231933,0.1078908012762669,20,STRONG,8.23,1.77,35.0,3,3,27,17,0,0,0,8,SP,8,168,45,21.0,6.94,4.37,11.57,1.29,21.077866537795906
805779,Jacob Wilson,R,ATH,1,Zebby Matthews,R,805673,823680,ATH @ MIN,5:10 PM,24/07,Scheduled,0.7223020246839283,-270.0,285.0,73.0,False,1111111111,estimated,0,0,0.0,0.31548742451356576,0.35490586875953456,0.30278960847942005,0.36219441682234443,20,2,-0.004170084768936322,1.022,45.2,D,0.2765765765765766,2.42370339996562,0.41098075812786133,12,5,0,0.29347826086956524,0.2893081761006289,0.5342342342342342,0.34144144144144145,0.12432432432432433,0.2961335676625659,0.2982791586998088,0.28191489361702127,0.29481641468682507,0.3051948051948052,162,0.26804123711340205,103,False,False,0.7008427595836824,0.021459265100245983,4.048387096774194,4.274193548387097,62,0.3160076468135012,0.29469034384216425,0.021317302971336938,0.5751826077138728,0.5504139432300681,0.02476866448380466,0.330042166387342,20,NEUTRAL,5.4,1.34,70.0,4,7,58,21,0,0,0,12,SP,12,297,73,24.8,7.46,2.7,9.39,1.93,24.631374132219598
671218,Heliot Ramos,R,SF,2,Grayson Rodriguez,R,680570,823196,LAA @ SF,7:15 PM,24/07,Scheduled,0.7058815976585326,,,,False,1011111100,estimated,0,0,0.0,0.23949545774109549,0.3874833398673018,0.5482619834245771,0.38003018735357247,20,2,-0.014375000000000027,0.994,15.0,F,0.25263157894736843,1.5320617742551916,0.5608605773159377,8,6,0,0.28,0.265625,0.5363636363636364,0.23333333333333334,0.23030303030303031,0.24622222222222223,0.2423728813559322,0.2868525896414343,0.25252525252525254,0.24,156,0.31521739130434784,100,False,False,0.6681811662871732,0.03770043137135948,3.8412698412698414,4.063492063492063,63,0.3188475241847277,0.26636408378815624,0.05248344039657149,0.5751826077138728,0.5035652714553961,0.07161733625847666,0.0013045027447654142,20,STRONG,8.23,1.77,35.0,3,3,27,17,0,0,0,8,SP,8,168,45,21.0,6.94,4.37,11.57,1.29,21.077866537795906
802139,Jj Wetherholt,L,STL,1,Rhett Lowder,R,695076,823031,CIN @ STL,5:15 PM,24/07,Scheduled,0.6964833526523143,,,,False,0001110011,estimated,3,2,0.6666666666666666,0.2234385969867852,0.272730957050379,0.4069451909987625,0.24806077621656353,20,1,0.06826241134751773,1.031,32.0,F,0.26895450917797287,1.4505572842246437,0.41421052141985326,17,6,0,0.20833333333333334,0.2765957446808511,0.5184294871794872,0.27564102564102566,0.20592948717948717,0.24817518248175183,0.26212471131639725,0.2618556701030928,0.2564102564102564,0.27074235807860264,260,0.24161073825503357,176,True,False,0.688963615820238,0.007519736832076296,3.9789473684210526,4.589473684210526,95,0.29284989577556586,0.2856605630167832,0.0071893327587826406,0.5794848968327188,0.5275552642189348,0.051929632613783916,0.06293493232494068,20,STRONG,5.75,1.64,72.0,3,7,61,35,0,0,0,14,SP,17,335,83,19.7,7.63,4.38,10.38,1.13,18.755699700562946
592885,Christian Yelich,L,MIL,1,Tomoyuki Sugano,R,608372,823759,COL @ MIL,1:10 PM,24/07,Pre-Game,0.6940024538950883,-212.0,223.0,68.0,False,1111111011,live,0,0,0.0,0.20384791608931116,0.31615207581361465,0.48221854742326525,0.3287475261301185,20,2,-0.013033175355450233,0.97,30.5,F,0.23493150684931507,2.3371584268391103,0.43635646076294976,17,6,0,0.25,0.23696682464454977,0.5133836650652025,0.28208647906657514,0.20452985586822237,0.22865208186309105,0.19202363367799113,0.27638190954773867,0.2234782608695652,0.22448979591836735,167,0.25892857142857145,129,False,False,0.65388365283973,0.040118801055358255,3.9242424242424243,4.484848484848484,66,0.2868570820793164,0.25862132689199807,0.0282357551873183,0.5794848968327188,0.5031312478158664,0.07635364901685238,0.07996393607544632,20,NEUTRAL,4.76,1.29,90.2,9,4,51,23,0,0,0,17,SP,17,382,94,22.5,5.06,2.28,9.33,1.79,22.73889829234107
672640,Otto Lopez,R,MIA,1,Germán Márquez,R,608566,823843,SD @ MIA,4:10 PM,24/07,Pre-Game,0.6940024538950883,,,,False,1110001101,live,0,0,0.0,0.27391675832109946,0.28704351818027524,0.29466604253866147,0.2928572320923641,20,2,-0.07413228972862002,1.0,27.8,F,0.23596938775510204,1.2413523009612508,0.45118566328088383,10,5,0,0.3853211009174312,0.3111888111888112,0.5146871008939975,0.454661558109834,0.03065134099616858,0.36268754076973253,0.30178069353327086,0.352549889135255,0.33988856112749916,0.3305785123966942,262,0.3333333333333333,167,False,False,0.6854870176411335,0.008515436253954789,3.98989898989899,4.333333333333333,99,0.3144446610302743,0.2824466803812516,0.031997980649022706,0.5751826077138728,0.5130129601004092,0.06216964761346355,0.16032967798825923,20,STRONG,5.24,1.54,44.2,4,2,30,22,0,0,0,9,SP,10,199,47,19.9,6.04,4.43,9.47,2.22,19.871752310130912
663616,Trevor Larnach,L,MIN,1,Jacob Lopez,L,682052,823680,ATH @ MIN,5:10 PM,24/07,Scheduled,0.688963615820238,,,,False,0111101111,estimated,0,0,0.0,0.3624630507015348,0.3652854045689726,0.36028840685614205,0.4143005183681793,20,1,0.06531406336853807,1.022,59.7,C,0.2583479789103691,1.6721235992462553,0.32177937732309503,15,5,0,0.35714285714285715,0.2918287937743191,0.5892700087950747,0.31926121372031663,0.09146877748460862,0.28800755429650615,0.3075780089153046,0.2807017543859649,0.29283489096573206,0.31547619047619047,192,0.2621359223300971,121,False,False,0.688963615820238,0.0,3.1882352941176473,3.6823529411764704,85,0.29219191506915904,0.2938179823106737,-0.0016260672415146504,0.6017212878493202,0.5386536610263005,0.0630676268230197,0.09737306090268406,20,NEUTRAL,6.64,1.73,59.2,4,4,49,36,0,0,0,12,SP,15,281,67,18.7,7.39,5.43,10.11,1.66,17.762221091761436
665161,Jeremy Peña,R,HOU,1,Davis Martin,R,663436,824573,HOU @ CWS,4:40 PM,24/07,Pre-Game,0.688963615820238,,,,False,1111011111,estimated,0,0,0.0,0.365430482768768,0.42381796320175696,0.4697335397085964,0.4901469721263056,20,2,0.08716956802063186,0.968,39.8,D,0.2771867612293144,2.2116298732787034,0.425294931285825,19,6,0,0.23404255319148937,0.3212121212121212,0.5807228915662651,0.27590361445783135,0.14337349397590363,0.32247557003257327,0.28286189683860236,0.3056768558951965,0.30580865603644647,0.3142857142857143,154,0.2777777777777778,82,False,False,0.688963615820238,0.0,3.8545454545454545,4.290909090909091,55,0.2958814857601663,0.29165875385756385,0.004222731902602472,0.5671841875756631,0.5368056079203694,0.03037857965529378,0.2981350435383279,20,NEUTRAL,3.31,1.27,106.0,9,5,97,33,0,0,0,19,SP,19,440,102,23.2,8.24,2.8,8.66,0.51,22.74686482892968
676391,Ernie Clement,R,TOR,1,Patrick Sandoval,L,663776,824733,TOR @ BOS,4:15 PM,24/07,Pre-Game,0.688963615820238,,,,False,1111011101,live,0,0,0.0,0.2780309478232857,0.27151976509490394,0.15526027202534798,0.3151232117737363,20,1,-0.012601952132638039,1.063,63.7,C,0.2978723404255319,,,2,6,0,0.28703703703703703,0.2996389891696751,0.3475177304964539,0.425531914893617,0.22695035460992907,0.28360413589364847,0.2890818858560794,0.26644736842105265,0.28392061563385984,0.26406926406926406,240,0.34415584415584416,164,False,False,0.6959797406481418,-0.0070161248279038135,3.85,4.04,100,0.3023363702787016,0.30114522836069957,0.0011911419180020144,0.562881898456817,0.527473535770613,0.035408362686204065,0.11548737590043127,20,NEUTRAL,4.82,1.71,9.1,0,0,10,2,0,0,0,2,SP,2,42,14,21.0,9.64,1.93,13.5,0.96,
641680,Jonah Heim,L,ATH,4,Zebby Matthews,R,805673,823680,ATH @ MIN,5:10 PM,24/07,Scheduled,0.688963615820238,,,,False,1100111111,estimated,0,0,0.0,0.2557032415457376,0.341758232284408,0.3398707436668453,0.3174878287085496,20,2,0.003636363636363632,1.022,45.2,D,0.2765765765765766,2.42370339996562,0.41098075812786133,12,5,0,0.23636363636363636,0.24,0.5342342342342342,0.34144144144144145,0.12432432432432433,0.23645970937912814,0.21232876712328766,0.24899598393574296,0.23343605546995377,0.24299065420560748,115,0.23076923076923078,88,False,False,0.6448301093082319,0.04413350651200609,3.3035714285714284,3.625,56,0.29156156891778906,0.24922120780428614,0.04234036111350292,0.5136331151391688,0.46832464830725956,0.0453084668319092,0.1086335000622995,20,NEUTRAL,5.4,1.34,70.0,4,7,58,21,0,0,0,12,SP,12,297,73,24.8,7.46,2.7,9.39,1.93,24.631374132219598
