batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,bvp_career,bvp_since,b_hit_rate,b_xba,b_hardhit,b_babip,b_k_rate,b_n_games,b_days_rest,split_diff,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_k_rate,p_n_games,p_days_rest,is_opener,b_hit_rate_vs_L,b_hit_rate_vs_R,p_use_fb,p_use_bb,p_use_os,b_hr_vs_fb,b_hr_vs_bb,b_hr_vs_os,b_hr_overall,b_hit_rate_vs_sp,b_pa_vs_sp,b_hit_rate_vs_rp,b_pa_vs_rp,b_is_rookie,p_is_rookie,base_p_hit,matchup_delta,b_avg_ab,b_avg_pa,b_games_played,p_multihit,base_p_multihit,p_multihit_matchup_delta,p_hrRbi,base_p_hrRbi,p_hrRbi_matchup_delta,b_quality_first3,b_n_games_first3,p_era,p_whip_official,p_ip,p_wins,p_losses,p_so,p_bb_official,p_saves,p_blown_saves,p_save_opps,p_games_started,p_role,p_games_pitched,p_bf_official,p_hits_allowed,p_bf_per_g,p_k9,p_bb9,p_h9,p_hr9,p_avg_bf,pen_delta,pen_available_n,pen_rested_frac,def_oaa_tonight,def_oaa_n,sched_games_7d,sched_day_after_night,sched_getaway,sched_tz_shift,b_pa,b_bb_rate,b_hit_rate_long,b_k_rate_long,b_bb_rate_long,b_hardhit_long,b_xba_long,p_hit_rate_vs_hand,slot_pa_exp,def_babip_allowed
686948,Drake Baldwin,L,ATL,1,Janson Junk,R,676083,824885,MIA @ ATL,4:15 PM,06/08,Scheduled,0.7219332636535521,,,,False,1111001001,estimated,0,0,0.0,0,0,0.28375848144521315,0.37099384027957333,0.5065965563351694,0.3815995128154765,0.20323409320161256,20,1,0.019737294546454842,1.018,50.5,C,0.25374310480693457,2.6856012606411244,0.4038407183571637,0.18698761451000623,15,6,0,0.2595419847328244,0.27927927927927926,0.39826498422712936,0.4148264984227129,0.18690851735015773,0.2595907928388747,0.2328767123287671,0.2877030162412993,0.25608907446068196,0.2694063926940639,248,0.27611940298507465,157,False,False,0.6873337026621437,0.034599560991408485,3.879120879120879,4.450549450549451,91,,,,,,,0.07376932016790588,20,4.58,1.33,78.2,5,6,61,22,0,0,0,15,SP,15,337,83,22.5,6.98,2.52,9.5,1.26,22.321143984245506,-0.017755485875774246,9,1.0,11.0,7,6,0,1,0.0,4.65,0.1144798953700031,0.27850877192982454,0.19305019305019305,0.10038610038610038,0.5121722846441947,0.33645224719101124,0.3177083333333333,4.44,0.3158410821849195
678882,Ceddanne Rafaela,R,BOS,1,Luis Castillo,R,622491,824729,CWS @ BOS,4:10 PM,06/08,Scheduled,0.72025768088705,,,,False,1111111110,estimated,5,1,0.2,1,2024,0.3141695793706884,0.3655702798320549,0.32435448220039226,0.43501973731558297,0.22372215332448123,20,1,0.007964401111048125,1.063,53.3,C,0.25509049773755654,2.8888728441052676,0.3941326750806775,0.19065184163427928,20,9,0,0.2796610169491525,0.28762541806020064,0.6030577576443941,0.26840317100792754,0.12853907134767836,0.2829880043620502,0.27435387673956263,0.25135135135135134,0.27732919254658384,0.2782258064516129,265,0.2958579881656805,180,False,False,0.6860401440186977,0.03421753686835227,3.9339622641509435,4.19811320754717,106,,,,,,,0.1818844019675274,20,5.06,1.39,99.2,3,9,86,32,0,1,1,17,SP,20,443,107,22.1,7.77,2.89,9.66,1.44,22.73131774032931,-0.0441005380299071,7,1.0,10.0,7,6,0,1,0.0,4.65,0.02285307963294179,0.29130434782608694,0.20486815415821502,0.05070993914807302,0.3465645311049211,0.30276137418755805,0.2469879518072289,4.44,0.3074254549140952
682829,Elly De La Cruz,L,CIN,1,Mason Barnett,R,686930,824481,ATH @ CIN,9:40 AM,06/08,Pre-Game,0.72025768088705,-233.0,245.0,70.0,False,1010110111,live,0,0,0.0,0,0,0.2795998311074649,0.3868904165447819,0.4948708614009849,0.37022041659398713,0.2279727101944825,20,1,-0.04799604156358239,1.083,33.4,F,0.27766990291262134,1.7442447187472836,0.4475498403960531,0.18680376300904372,15,7,0,0.313953488372093,0.26595744680851063,0.436399217221135,0.5166340508806262,0.046966731898238745,0.2524330900243309,0.2515274949083503,0.25773195876288657,0.2537764350453172,0.2711864406779661,261,0.2878787878787879,158,False,False,0.6690875282661893,0.051170152620860665,3.956989247311828,4.505376344086022,93,,,,,,,0.1818444046388274,20,4.85,1.31,29.2,1,1,29,14,2,0,2,1,RP,15,126,25,8.4,8.8,4.25,7.58,1.52,9.024585134401072,-0.036424347553716596,9,0.9,-19.0,6,6,1,1,0.0,4.65,0.1666922648860198,0.2657952069716776,0.272552783109405,0.10940499040307101,0.5488958990536278,0.3785289169295479,0.26785714285714285,4.44,0.3550531708953967
665487,Fernando Tatís,R,SD,1,Kohl Drake,L,684442,825053,SD @ AZ,6:40 PM,06/08,Scheduled,0.7139312053101349,-245.0,257.0,71.0,False,0011110011,estimated,0,0,0.0,0,0,0.24450469111251835,0.31113368035436173,0.4545350636600057,0.27659046602818754,0.14865071507610558,20,1,0.06521613499768841,1.0,50.3,C,0.25102880658436216,,,,3,5,0,0.3300970873786408,0.2648809523809524,0.5679012345679012,0.24691358024691357,0.18518518518518517,0.2686491935483871,0.2571157495256167,0.21285140562248997,0.2574816487859966,0.24723247232472326,308,0.3333333333333333,187,False,True,0.6926455624368427,0.021285642873292154,3.919642857142857,4.419642857142857,112,,,,,,,-0.14077411008519336,20,4.85,1.46,13.0,0,0,12,5,0,0,0,3,SP,3,59,14,19.7,8.31,3.46,9.69,2.08,,-0.012256205310134938,8,0.8888888888888888,22.0,7,7,0,1,0.0,4.65,0.09472522634499009,0.27729257641921395,0.20576923076923076,0.08846153846153847,0.5217948717948718,0.3643219373219373,0.23529411764705882,4.44,0.3102575295597743
607208,Trea Turner,R,PHI,1,Miles Mikolas,R,571945,823430,WSH @ PHI,3:05 PM,06/08,Scheduled,0.7036169513191584,-317.0,335.0,76.0,False,1101111010,estimated,14,6,0.42857142857142855,1,2023,0.3043073053103483,0.37378868152221495,0.43261075900458523,0.36426267536096507,0.17594673167606578,20,1,-0.00819271215456105,1.009,41.4,D,0.2407079646017699,2.722574737061988,0.44786571291580907,0.09769884502384288,20,5,0,0.25287356321839083,0.24468085106382978,0.49173553719008267,0.42916174734356555,0.07910271546635184,0.22568279827503593,0.22795698924731184,0.25279642058165547,0.22905027932960895,0.24125874125874125,306,0.25882352941176473,185,False,False,0.6698547735671455,0.033762177752012845,4.108108108108108,4.423423423423423,111,,,,,,,0.04515440924582146,20,5.67,1.35,108.0,3,8,55,22,0,0,0,10,RP,23,462,124,20.1,4.58,1.83,10.33,2.17,20.638426262293734,-0.02407945131915834,8,0.8,1.0,6,6,0,1,0.0,4.65,0.05016187571883308,0.24180327868852458,0.22328244274809161,0.05916030534351145,0.4047619047619047,0.3128167115902965,0.27717391304347827,4.44,0.29961522418502057
677800,Wilyer Abreu,L,BOS,2,Luis Castillo,R,622491,824729,CWS @ BOS,4:10 PM,06/08,Scheduled,0.6993162938155452,,,,False,1010110111,estimated,0,0,0.0,0,0,0.24800731153788394,0.36063237602385856,0.46021021072011714,0.3023072651429757,0.2002690068891326,20,1,-0.06097018246550956,1.063,53.3,C,0.25509049773755654,2.8888728441052676,0.3941326750806775,0.19065184163427928,20,9,0,0.29906542056074764,0.23809523809523808,0.6030577576443941,0.26840317100792754,0.12853907134767836,0.2312440645773979,0.23975155279503105,0.21968365553602812,0.23178427997705106,0.25390625,293,0.25301204819277107,187,False,False,0.655030453113644,0.044285840701901114,3.8363636363636364,4.363636363636363,110,,,,,,,-0.11537726122171213,20,5.06,1.39,99.2,3,9,86,32,0,1,1,17,SP,20,443,107,22.1,7.77,2.89,9.66,1.44,22.73131774032931,-0.05370200810125936,7,1.0,10.0,7,6,0,1,0.0,4.55,0.0975177028581617,0.2383073496659243,0.21739130434782608,0.08695652173913043,0.4049164208456244,0.31509292035398234,0.2857142857142857,4.349,0.3074254549140952
624413,Pete Alonso,R,BAL,2,Ryan Johnson,R,696270,824804,LAA @ BAL,9:35 AM,06/08,Pre-Game,0.6980706906665871,-233.0,245.0,70.0,False,0110110110,estimated,0,0,0.0,0,0,0.24063020784675734,0.40308720255158614,0.6030505499952886,0.3308446029203231,0.2696100466525271,20,1,0.008027262400605834,1.044,52.3,C,0.2702380952380952,1.7963059105096233,0.32422992764682484,0.1774659358181652,12,6,0,0.2446043165467626,0.25263157894736843,0.5642857142857143,0.17023809523809524,0.2654761904761905,0.24389027431421445,0.2252836304700162,0.2685851318944844,0.24036095159967186,0.26153846153846155,293,0.23170731707317074,198,False,False,0.6626805613499047,0.035390129316682395,3.752212389380531,4.345132743362832,113,,,,,,,0.022340474023974804,20,7.63,1.59,46.0,2,6,37,20,0,0,0,9,SP,12,211,53,17.6,7.24,3.91,10.37,2.35,18.375487692018837,-0.04384211923801562,7,0.875,-5.0,7,5,1,1,0.0,4.55,0.05155681424910956,0.251685393258427,0.24806201550387597,0.10852713178294573,0.5604626708727655,0.3686340694006309,0.2857142857142857,4.349,0.2974962126598803
671739,Michael Harris,L,ATL,5,Janson Junk,R,676083,824885,MIA @ ATL,4:15 PM,06/08,Scheduled,0.6975117526236954,,,,False,1100010011,estimated,5,1,0.2,1,2025,0.23319667028341018,0.31956174593401,0.43972265280692086,0.2748405147123105,0.1317599723788038,20,1,-0.011387163561076608,1.018,50.5,C,0.25374310480693457,2.6856012606411244,0.4038407183571637,0.18698761451000623,15,6,0,0.2971014492753623,0.2857142857142857,0.39826498422712936,0.4148264984227129,0.18690851735015773,0.26993865030674846,0.24725274725274726,0.29836829836829837,0.26843033509700176,0.2838427947598253,244,0.2967032967032967,193,False,False,0.6812277206665693,0.01628403195712602,3.8055555555555554,4.046296296296297,108,,,,,,,0.09667239034681341,20,4.58,1.33,78.2,5,6,61,22,0,0,0,15,SP,15,337,83,22.5,6.98,2.52,9.5,1.26,22.321143984245506,-0.012522863734806489,9,1.0,11.0,7,6,0,1,0.0,4.25,0.035004081969841075,0.289532293986637,0.18238993710691823,0.03773584905660377,0.49705340699815836,0.35513812154696134,0.3177083333333333,4.023,0.3158410821849195
695506,Jac Caglianone,L,KC,2,Bailey Ober,R,641927,824080,MIN @ KC,4:40 PM,06/08,Scheduled,0.694652210644349,,,,False,0001101111,estimated,0,0,0.0,0,0,0.22861040281607958,0.3517492783668329,0.5834439087580748,0.263269287628547,0.15617520759706033,20,1,-0.009121313469139525,1.028,65.3,B,0.2643171806167401,2.6311539544068308,0.33141849994784917,0.16946896102704195,16,7,0,0.2608695652173913,0.2517482517482518,0.3465491923641703,0.30176211453744495,0.35168869309838474,0.24703087885985747,0.23227917121046893,0.21945701357466063,0.23679209426073736,0.26046511627906976,238,0.24539877300613497,172,False,False,0.6763313654841195,0.01832084516022947,3.5660377358490565,3.8679245283018866,106,,,,,,,0.06166269935635193,20,4.45,1.23,87.0,7,3,63,24,0,0,0,16,SP,16,366,83,22.9,6.52,2.48,8.59,1.45,22.978076440504125,-0.015014710644349116,8,1.0,-16.0,6,6,0,1,0.0,4.55,0.02750143582241042,0.24154589371980675,0.2803532008830022,0.0728476821192053,0.5365853658536586,0.3644006968641115,0.2422680412371134,4.349,0.3076003831141262
695720,Tommy White,R,ATH,2,Andrew Abbott,L,671096,824481,ATH @ CIN,9:40 AM,06/08,Pre-Game,0.694652210644349,,,,False,1010001001,live,0,0,0.0,0,0,0.2322184513361034,0.3326709201576811,0.2842250227716947,0.24901445470493078,0.19856225096270655,17,1,0.25474254742547425,1.083,47.6,D,0.26413255360623783,1.5318031681816033,0.37774012945032764,0.18635723998791398,20,5,0,0.36585365853658536,0.1111111111111111,0.47084762371386574,0.34149926506614403,0.1876531112199902,0.22745098039215686,0.18548387096774194,0.2711864406779661,0.22146118721461186,0.25,41,0.2857142857142857,29,True,False,0.6812277206665693,0.013424489977779674,4.0,4.117647058823529,17,,,,,,,-0.07998980811792217,17,3.91,1.39,122.0,5,7,95,59,0,0,0,23,SP,23,528,111,23.0,7.01,4.35,8.19,1.25,22.970815109541626,0.0027227893556510674,8,0.8888888888888888,4.0,7,6,1,1,0.0,4.55,0.021419382075470703,0.2753623188405797,0.16216216216216217,0.06756756756756757,0.3333333333333333,0.29754385964912283,0.23885350318471338,4.349,0.27872145945289256
